phase	source0	raw	action	pidx_before	prime	out_idx_phase	out_idx_global	out
B	192	W	B_ATBASH_PRIME_MINUS_1_ADD	294	1933	38	136	I
B	193	C	B_ATBASH_PRIME_MINUS_1_ADD	295	1949	39	137	EA
B	194	G	B_ATBASH_PRIME_MINUS_1_ADD	296	1951	40	138	F
B	195	F	B_ATBASH_PRIME_MINUS_1_ADD	297	1973	41	139	EA
B	196	D	B_ATBASH_PRIME_MINUS_1_ADD	298	1979	42	140	J
B	197	R	B_ATBASH_PRIME_MINUS_1_ADD	299	1987	43	141	N
B	198	E	B_ATBASH_PRIME_MINUS_1_ADD	300	1993	44	142	U
B	199	D	B_ATBASH_PRIME_MINUS_1_ADD	301	1997	45	143	F
B	200	E	B_ATBASH_PRIME_MINUS_1_ADD	302	1999	46	144	W
B	201	W	B_ATBASH_PRIME_MINUS_1_ADD	303	2003	47	145	OE
B	202	O	B_ATBASH_PRIME_MINUS_1_ADD	304	2011	48	146	C
B	203	EO	B_ATBASH_PRIME_MINUS_1_ADD	305	2017	49	147	TH
B	204	OE	B_ATBASH_PRIME_MINUS_1_ADD	306	2027	50	148	TH
B	205	H	B_ATBASH_PRIME_MINUS_1_ADD	307	2029	51	149	E
B	206	O	B_ATBASH_PRIME_MINUS_1_ADD	308	2039	52	150	R
B	207	OE	B_ATBASH_PRIME_MINUS_1_ADD	309	2053	53	151	EA
B	208	B	B_ATBASH_PRIME_MINUS_1_ADD	310	2063	54	152	X
B	209	S	B_ATBASH_PRIME_MINUS_1_ADD	311	2069	55	153	OE
B	210	H	B_ATBASH_PRIME_MINUS_1_ADD	312	2081	56	154	EO
B	211	EA	B_ATBASH_PRIME_MINUS_1_ADD	313	2083	57	155	D
B	212	A	B_ATBASH_PRIME_MINUS_1_ADD	314	2087	58	156	TH
B	213	C	B_ATBASH_PRIME_MINUS_1_ADD	315	2089	59	157	D
B	214	I	B_ATBASH_PRIME_MINUS_1_ADD	316	2099	60	158	EA
B	215	M	B_ATBASH_PRIME_MINUS_1_ADD	317	2111	61	159	TH
B	216	X	B_DELETE_X	318				
B	217	J	B_ATBASH_PRIME_MINUS_1_ADD	318	2113	62	160	EO
B	218	M	B_ATBASH_PRIME_MINUS_1_ADD	319	2129	63	161	L
B	219	E	B_ATBASH_PRIME_MINUS_1_ADD	320	2131	64	162	D
B	220	M	B_ATBASH_PRIME_MINUS_1_ADD	321	2137	65	163	EA
B	221	L	B_ATBASH_PRIME_MINUS_1_ADD	322	2141	66	164	TH
B	222	G	B_ATBASH_PRIME_MINUS_1_ADD	323	2143	67	165	E
B	223	O	B_ATBASH_PRIME_MINUS_1_ADD	324	2153	68	166	TH
B	224	T	B_ATBASH_PRIME_MINUS_1_ADD	325	2161	69	167	Y
B	225	TH	B_ATBASH_PRIME_MINUS_1_ADD	326	2179	70	168	F
B	226	X	B_DELETE_X	327				
B	227	E	B_ATBASH_PRIME_MINUS_1_ADD	327	2203	71	169	H
B	228	EA	B_ATBASH_PRIME_MINUS_1_ADD	328	2207	72	170	TH
